Date,Time Spent (seconds),Time Spent (HH:MM:SS),Number of People,Productivity
2016-01-31T00:00:00,57251,15:54:11,1,2
2016-01-31T00:00:00,14889,04:08:09,1,-1
2016-01-31T00:00:00,11058,03:04:18,1,0
2016-01-31T00:00:00,5441,01:30:41,1,-2
2016-01-31T00:00:00,5131,01:25:31,1,1
2016-02-07T00:00:00,81840,22:44:00,1,2
2016-02-07T00:00:00,24826,06:53:46,1,-2
2016-02-07T00:00:00,19319,05:21:59,1,0
2016-02-07T00:00:00,17946,04:59:06,1,-1
2016-02-07T00:00:00,10440,02:54:00,1,1
2016-02-14T00:00:00,83254,23:07:34,1,2
2016-02-14T00:00:00,28581,07:56:21,1,-1
2016-02-14T00:00:00,19834,05:30:34,1,0
2016-02-14T00:00:00,13060,03:37:40,1,1
2016-02-14T00:00:00,11457,03:10:57,1,-2
2016-02-21T00:00:00,86047,23:54:07,1,2
2016-02-21T00:00:00,18234,05:03:54,1,0
2016-02-21T00:00:00,9983,02:46:23,1,-2
2016-02-21T00:00:00,6808,01:53:28,1,1
2016-02-21T00:00:00,5112,01:25:12,1,-1
2016-02-28T00:00:00,74215,20:36:55,1,2
2016-02-28T00:00:00,19486,05:24:46,1,0
2016-02-28T00:00:00,15658,04:20:58,1,-1
2016-02-28T00:00:00,9379,02:36:19,1,-2
2016-02-28T00:00:00,6097,01:41:37,1,1
2016-03-06T00:00:00,77180,21:26:20,1,2
2016-03-06T00:00:00,18116,05:01:56,1,0
2016-03-06T00:00:00,15782,04:23:02,1,-1
2016-03-06T00:00:00,11506,03:11:46,1,1
2016-03-06T00:00:00,5849,01:37:29,1,-2
2016-03-13T00:00:00,97634,27:07:14,1,2
2016-03-13T00:00:00,24591,06:49:51,1,0
2016-03-13T00:00:00,15806,04:23:26,1,-1
2016-03-13T00:00:00,11424,03:10:24,1,1
2016-03-13T00:00:00,10583,02:56:23,1,-2
2016-03-20T00:00:00,84055,23:20:55,1,2
2016-03-20T00:00:00,30236,08:23:56,1,0
2016-03-20T00:00:00,14636,04:03:56,1,-1
2016-03-20T00:00:00,12156,03:22:36,1,-2
2016-03-20T00:00:00,10482,02:54:42,1,1
2016-03-27T00:00:00,102924,28:35:24,1,2
2016-03-27T00:00:00,19877,05:31:17,1,0
2016-03-27T00:00:00,14371,03:59:31,1,-2
2016-03-27T00:00:00,13775,03:49:35,1,-1
2016-03-27T00:00:00,11624,03:13:44,1,1
2016-04-03T00:00:00,87496,24:18:16,1,2
2016-04-03T00:00:00,35858,09:57:38,1,0
2016-04-03T00:00:00,15929,04:25:29,1,-2
2016-04-03T00:00:00,14538,04:02:18,1,-1
2016-04-03T00:00:00,7360,02:02:40,1,1
2016-04-10T00:00:00,79598,22:06:38,1,2
2016-04-10T00:00:00,28527,07:55:27,1,0
2016-04-10T00:00:00,15056,04:10:56,1,-1
2016-04-10T00:00:00,9851,02:44:11,1,-2
2016-04-10T00:00:00,9573,02:39:33,1,1
2016-04-17T00:00:00,67826,18:50:26,1,2
2016-04-17T00:00:00,24201,06:43:21,1,0
2016-04-17T00:00:00,10579,02:56:19,1,-1
2016-04-17T00:00:00,10426,02:53:46,1,1
2016-04-17T00:00:00,7736,02:08:56,1,-2
2016-04-24T00:00:00,74147,20:35:47,1,2
2016-04-24T00:00:00,26989,07:29:49,1,0
2016-04-24T00:00:00,23759,06:35:59,1,1
2016-04-24T00:00:00,20621,05:43:41,1,-1
2016-04-24T00:00:00,6919,01:55:19,1,-2
2016-05-01T00:00:00,130620,36:17:00,1,2
2016-05-01T00:00:00,21986,06:06:26,1,0
2016-05-01T00:00:00,14757,04:05:57,1,1
2016-05-01T00:00:00,8185,02:16:25,1,-1
2016-05-01T00:00:00,5342,01:29:02,1,-2
2016-05-08T00:00:00,163684,45:28:04,1,2
2016-05-08T00:00:00,22630,06:17:10,1,1
2016-05-08T00:00:00,16975,04:42:55,1,0
2016-05-08T00:00:00,6989,01:56:29,1,-2
2016-05-08T00:00:00,4917,01:21:57,1,-1
2016-05-15T00:00:00,71164,19:46:04,1,2
2016-05-15T00:00:00,36494,10:08:14,1,0
2016-05-15T00:00:00,25812,07:10:12,1,1
2016-05-15T00:00:00,15724,04:22:04,1,-1
2016-05-15T00:00:00,4483,01:14:43,1,-2
2016-05-22T00:00:00,67824,18:50:24,1,2
2016-05-22T00:00:00,16795,04:39:55,1,1
2016-05-22T00:00:00,16001,04:26:41,1,0
2016-05-22T00:00:00,9962,02:46:02,1,-1
2016-05-22T00:00:00,8524,02:22:04,1,-2
2016-05-29T00:00:00,53351,14:49:11,1,2
2016-05-29T00:00:00,19124,05:18:44,1,0
2016-05-29T00:00:00,9576,02:39:36,1,1
2016-05-29T00:00:00,9383,02:36:23,1,-1
2016-05-29T00:00:00,4539,01:15:39,1,-2
2016-06-05T00:00:00,43160,11:59:20,1,2
2016-06-05T00:00:00,27299,07:34:59,1,0
2016-06-05T00:00:00,10398,02:53:18,1,1
2016-06-05T00:00:00,7113,01:58:33,1,-2
2016-06-05T00:00:00,6450,01:47:30,1,-1
2016-06-12T00:00:00,39909,11:05:09,1,2
2016-06-12T00:00:00,20795,05:46:35,1,0
2016-06-12T00:00:00,15244,04:14:04,1,1
2016-06-12T00:00:00,9248,02:34:08,1,-2
2016-06-12T00:00:00,9064,02:31:04,1,-1
2016-06-19T00:00:00,38851,10:47:31,1,2
2016-06-19T00:00:00,26413,07:20:13,1,0
2016-06-19T00:00:00,16664,04:37:44,1,1
2016-06-19T00:00:00,7306,02:01:46,1,-2
2016-06-19T00:00:00,4978,01:22:58,1,-1
2016-06-26T00:00:00,57457,15:57:37,1,2
2016-06-26T00:00:00,28072,07:47:52,1,0
2016-06-26T00:00:00,18941,05:15:41,1,1
2016-06-26T00:00:00,5528,01:32:08,1,-2
2016-06-26T00:00:00,3345,00:55:45,1,-1
2016-07-03T00:00:00,1457,00:24:17,1,0
2016-07-03T00:00:00,992,00:16:32,1,2
2016-07-03T00:00:00,803,00:13:23,1,1
2016-07-03T00:00:00,782,00:13:02,1,-2
2016-07-03T00:00:00,215,00:03:35,1,-1
2016-07-10T00:00:00,19781,05:29:41,1,0
2016-07-10T00:00:00,4842,01:20:42,1,-1
2016-07-10T00:00:00,3248,00:54:08,1,1
2016-07-10T00:00:00,2982,00:49:42,1,2
2016-07-10T00:00:00,1841,00:30:41,1,-2
2016-07-17T00:00:00,10336,02:52:16,1,0
2016-07-17T00:00:00,6713,01:51:53,1,-1
2016-07-17T00:00:00,1837,00:30:37,1,1
2016-07-17T00:00:00,1048,00:17:28,1,-2
2016-07-17T00:00:00,670,00:11:10,1,2
2016-07-24T00:00:00,45423,12:37:03,1,0
2016-07-24T00:00:00,36298,10:04:58,1,1
2016-07-24T00:00:00,34515,09:35:15,1,2
2016-07-24T00:00:00,13363,03:42:43,1,-2
2016-07-24T00:00:00,8531,02:22:11,1,-1
2016-07-31T00:00:00,27186,07:33:06,1,2
2016-07-31T00:00:00,11823,03:17:03,1,0
2016-07-31T00:00:00,6547,01:49:07,1,1
2016-07-31T00:00:00,4900,01:21:40,1,-2
2016-07-31T00:00:00,1062,00:17:42,1,-1
2016-08-07T00:00:00,26777,07:26:17,1,2
2016-08-07T00:00:00,18145,05:02:25,1,0
2016-08-07T00:00:00,7864,02:11:04,1,-2
2016-08-07T00:00:00,5861,01:37:41,1,-1
2016-08-07T00:00:00,3616,01:00:16,1,1
2016-08-14T00:00:00,53989,14:59:49,1,2
2016-08-14T00:00:00,21794,06:03:14,1,0
2016-08-14T00:00:00,4906,01:21:46,1,1
2016-08-14T00:00:00,3701,01:01:41,1,-2
2016-08-14T00:00:00,2711,00:45:11,1,-1
2016-08-21T00:00:00,25059,06:57:39,1,2
2016-08-21T00:00:00,9516,02:38:36,1,0
2016-08-21T00:00:00,7199,01:59:59,1,1
2016-08-21T00:00:00,3247,00:54:07,1,-2
2016-08-21T00:00:00,743,00:12:23,1,-1
2016-08-28T00:00:00,37126,10:18:46,1,2
2016-08-28T00:00:00,24476,06:47:56,1,0
2016-08-28T00:00:00,13035,03:37:15,1,1
2016-08-28T00:00:00,11189,03:06:29,1,-2
2016-08-28T00:00:00,9921,02:45:21,1,-1
2016-09-04T00:00:00,75830,21:03:50,1,2
2016-09-04T00:00:00,15515,04:18:35,1,0
2016-09-04T00:00:00,9303,02:35:03,1,1
2016-09-04T00:00:00,3133,00:52:13,1,-2
2016-09-04T00:00:00,879,00:14:39,1,-1
2016-09-11T00:00:00,43372,12:02:52,1,2
2016-09-11T00:00:00,12608,03:30:08,1,0
2016-09-11T00:00:00,8835,02:27:15,1,1
2016-09-11T00:00:00,5484,01:31:24,1,-2
2016-09-11T00:00:00,4589,01:16:29,1,-1
2016-09-18T00:00:00,23405,06:30:05,1,2
2016-09-18T00:00:00,18516,05:08:36,1,1
2016-09-18T00:00:00,15766,04:22:46,1,0
2016-09-18T00:00:00,5227,01:27:07,1,-2
2016-09-18T00:00:00,5181,01:26:21,1,-1
2016-09-25T00:00:00,92585,25:43:05,1,2
2016-09-25T00:00:00,31713,08:48:33,1,1
2016-09-25T00:00:00,21750,06:02:30,1,0
2016-09-25T00:00:00,5782,01:36:22,1,-2
2016-09-25T00:00:00,1643,00:27:23,1,-1
2016-10-02T00:00:00,105881,29:24:41,1,2
2016-10-02T00:00:00,44587,12:23:07,1,0
2016-10-02T00:00:00,35480,09:51:20,1,1
2016-10-02T00:00:00,4508,01:15:08,1,-2
2016-10-02T00:00:00,3530,00:58:50,1,-1
2016-10-09T00:00:00,107043,29:44:03,1,2
2016-10-09T00:00:00,23969,06:39:29,1,0
2016-10-09T00:00:00,22240,06:10:40,1,1
2016-10-09T00:00:00,4959,01:22:39,1,-2
2016-10-09T00:00:00,1763,00:29:23,1,-1
2016-10-16T00:00:00,111469,30:57:49,1,2
2016-10-16T00:00:00,37164,10:19:24,1,0
2016-10-16T00:00:00,30923,08:35:23,1,1
2016-10-16T00:00:00,5968,01:39:28,1,-1
2016-10-16T00:00:00,5637,01:33:57,1,-2
2016-10-23T00:00:00,106305,29:31:45,1,2
2016-10-23T00:00:00,33128,09:12:08,1,0
2016-10-23T00:00:00,21142,05:52:22,1,1
2016-10-23T00:00:00,7218,02:00:18,1,-1
2016-10-23T00:00:00,4596,01:16:36,1,-2
2016-10-30T00:00:00,96881,26:54:41,1,2
2016-10-30T00:00:00,17509,04:51:49,1,0
2016-10-30T00:00:00,15870,04:24:30,1,1
2016-10-30T00:00:00,6846,01:54:06,1,-2
2016-10-30T00:00:00,2617,00:43:37,1,-1
2016-11-06T00:00:00,73638,20:27:18,1,2
2016-11-06T00:00:00,19966,05:32:46,1,0
2016-11-06T00:00:00,13412,03:43:32,1,1
2016-11-06T00:00:00,10107,02:48:27,1,-2
2016-11-06T00:00:00,2610,00:43:30,1,-1
2016-11-13T00:00:00,25953,07:12:33,1,2
2016-11-13T00:00:00,7323,02:02:03,1,1
2016-11-13T00:00:00,4132,01:08:52,1,0
2016-11-13T00:00:00,1558,00:25:58,1,-2
2016-11-13T00:00:00,872,00:14:32,1,-1
2016-11-20T00:00:00,69969,19:26:09,1,2
2016-11-20T00:00:00,13389,03:43:09,1,0
2016-11-20T00:00:00,10937,03:02:17,1,1
2016-11-20T00:00:00,6223,01:43:43,1,-2
2016-11-20T00:00:00,3535,00:58:55,1,-1
2016-11-27T00:00:00,30905,08:35:05,1,2
2016-11-27T00:00:00,4549,01:15:49,1,0
2016-11-27T00:00:00,4155,01:09:15,1,1
2016-11-27T00:00:00,3029,00:50:29,1,-2
2016-11-27T00:00:00,64,00:01:04,1,-1
2016-12-04T00:00:00,80527,22:22:07,1,2
2016-12-04T00:00:00,18662,05:11:02,1,1
2016-12-04T00:00:00,15277,04:14:37,1,0
2016-12-04T00:00:00,5087,01:24:47,1,-2
2016-12-04T00:00:00,1607,00:26:47,1,-1
2016-12-11T00:00:00,100949,28:02:29,1,2
2016-12-11T00:00:00,22115,06:08:35,1,1
2016-12-11T00:00:00,21029,05:50:29,1,0
2016-12-11T00:00:00,12745,03:32:25,1,-2
2016-12-11T00:00:00,4026,01:07:06,1,-1
2016-12-18T00:00:00,84846,23:34:06,1,2
2016-12-18T00:00:00,23663,06:34:23,1,0
2016-12-18T00:00:00,20532,05:42:12,1,1
2016-12-18T00:00:00,8175,02:16:15,1,-2
2016-12-18T00:00:00,3219,00:53:39,1,-1
2016-12-25T00:00:00,104873,29:07:53,1,2
2016-12-25T00:00:00,18455,05:07:35,1,0
2016-12-25T00:00:00,17094,04:44:54,1,1
2016-12-25T00:00:00,6869,01:54:29,1,-2
2016-12-25T00:00:00,1994,00:33:14,1,-1
